tran_id,product_id,qty,amt,tran_dt
2022-01-01T07:10:04.511110_0,74,5,4.75,2022-01-01
2022-01-01T07:10:04.511110_0,39,3,8.25,2022-01-01
2022-01-01T07:10:04.511110_1,28,3,8.67,2022-01-01
2022-01-01T07:10:04.511110_10,14,5,4.95,2022-01-01
2022-01-01T07:10:04.511110_10,75,1,8.79,2022-01-01
2022-01-01T07:10:04.511110_10,81,3,10.77,2022-01-01
2022-01-01T07:10:04.511110_10,97,1,5.99,2022-01-01
2022-01-01T07:10:04.511110_11,90,4,3.96,2022-01-01
2022-01-01T07:10:04.511110_12,30,1,3.1,2022-01-01
2022-01-01T07:10:04.511110_12,90,2,1.98,2022-01-01
2022-01-01T07:10:04.511110_12,47,5,12.5,2022-01-01
2022-01-01T07:10:04.511110_12,1,5,7.5,2022-01-01
2022-01-01T07:10:04.511110_12,31,2,4.98,2022-01-01
2022-01-01T07:10:04.511110_12,21,4,11.96,2022-01-01
2022-01-01T07:10:04.511110_13,77,2,1.18,2022-01-01
2022-01-01T07:10:04.511110_13,19,1,3.45,2022-01-01
2022-01-01T07:10:04.511110_13,45,3,2.97,2022-01-01
2022-01-01T07:10:04.511110_13,41,3,7.17,2022-01-01
2022-01-01T07:10:04.511110_13,4,2,5.98,2022-01-01
2022-01-01T07:10:04.511110_13,27,1,2.15,2022-01-01
2022-01-01T07:10:04.511110_13,12,3,5.4,2022-01-01
2022-01-01T07:10:04.511110_14,71,1,6.59,2022-01-01
2022-01-01T07:10:04.511110_14,65,1,7.99,2022-01-01
2022-01-01T07:10:04.511110_14,7,1,1.5,2022-01-01
2022-01-01T07:10:04.511110_14,85,2,9.98,2022-01-01
2022-01-01T07:10:04.511110_14,22,2,5.58,2022-01-01
2022-01-01T07:10:04.511110_14,21,2,5.98,2022-01-01
2022-01-01T07:10:04.511110_14,43,1,3.99,2022-01-01
2022-01-01T07:10:04.511110_15,42,4,1.56,2022-01-01
2022-01-01T07:10:04.511110_15,61,5,6.45,2022-01-01
2022-01-01T07:10:04.511110_16,48,3,7.17,2022-01-01
2022-01-01T07:10:04.511110_16,82,1,7.99,2022-01-01
2022-01-01T07:10:04.511110_16,87,1,9.99,2022-01-01
2022-01-01T07:10:04.511110_16,22,2,5.58,2022-01-01
2022-01-01T07:10:04.511110_2,34,3,5.97,2022-01-01
2022-01-01T07:10:04.511110_2,56,5,7.95,2022-01-01
2022-01-01T07:10:04.511110_2,60,1,1.99,2022-01-01
2022-01-01T07:10:04.511110_2,18,1,3.88,2022-01-01
2022-01-01T07:10:04.511110_2,6,3,5.97,2022-01-01
2022-01-01T07:10:04.511110_2,89,5,13.9,2022-01-01
2022-01-01T07:10:04.511110_3,32,2,6.18,2022-01-01
2022-01-01T07:10:04.511110_3,13,4,11.92,2022-01-01
2022-01-01T07:10:04.511110_3,28,1,2.89,2022-01-01
2022-01-01T07:10:04.511110_3,68,5,12.95,2022-01-01
2022-01-01T07:10:04.511110_4,4,3,8.97,2022-01-01
2022-01-01T07:10:04.511110_4,68,3,7.77,2022-01-01
2022-01-01T07:10:04.511110_4,4,1,2.99,2022-01-01
2022-01-01T07:10:04.511110_4,76,2,1.14,2022-01-01
2022-01-01T07:10:04.511110_4,43,1,3.99,2022-01-01
2022-01-01T07:10:04.511110_4,64,2,8.92,2022-01-01
2022-01-01T07:10:04.511110_4,28,5,14.45,2022-01-01
2022-01-01T07:10:04.511110_4,92,5,12.45,2022-01-01
