tran_id,store_id,member_id,tran_dt
2022-01-01T07:10:04.511110_0,3,1522,2022-01-01
2022-01-01T07:10:04.511110_1,3,1675,2022-01-01
2022-01-01T07:10:04.511110_10,3,1701,2022-01-01
2022-01-01T07:10:04.511110_11,1,1765,2022-01-01
2022-01-01T07:10:04.511110_12,1,1100,2022-01-01
2022-01-01T07:10:04.511110_13,1,1792,2022-01-01
2022-01-01T07:10:04.511110_14,1,1194,2022-01-01
2022-01-01T07:10:04.511110_15,2,1792,2022-01-01
2022-01-01T07:10:04.511110_16,3,1460,2022-01-01
2022-01-01T07:10:04.511110_2,3,1792,2022-01-01
2022-01-01T07:10:04.511110_3,1,1194,2022-01-01
2022-01-01T07:10:04.511110_4,3,1368,2022-01-01
2022-01-01T07:10:04.511110_5,1,1795,2022-01-01
2022-01-01T07:10:04.511110_6,1,1509,2022-01-01
2022-01-01T07:10:04.511110_7,1,1085,2022-01-01
2022-01-01T07:10:04.511110_8,1,1570,2022-01-01
2022-01-01T07:10:04.511110_9,3,1234,2022-01-01
2022-01-02T07:10:04.512123_0,2,1335,2022-01-02
2022-01-02T07:10:04.512123_1,3,1087,2022-01-02
2022-01-02T07:10:04.512123_10,2,1632,2022-01-02
2022-01-02T07:10:04.512123_11,1,1361,2022-01-02
2022-01-02T07:10:04.512123_12,1,1761,2022-01-02
2022-01-02T07:10:04.512123_13,3,1792,2022-01-02
2022-01-02T07:10:04.512123_14,1,1595,2022-01-02
2022-01-02T07:10:04.512123_15,1,1625,2022-01-02
2022-01-02T07:10:04.512123_16,3,1923,2022-01-02
2022-01-02T07:10:04.512123_17,1,1636,2022-01-02
2022-01-02T07:10:04.512123_2,1,1865,2022-01-02
2022-01-02T07:10:04.512123_3,1,1031,2022-01-02
2022-01-02T07:10:04.512123_4,2,1540,2022-01-02
2022-01-02T07:10:04.512123_5,3,1487,2022-01-02
2022-01-02T07:10:04.512123_6,1,1452,2022-01-02
2022-01-02T07:10:04.512123_7,2,1251,2022-01-02
2022-01-02T07:10:04.512123_8,3,1697,2022-01-02
2022-01-02T07:10:04.512123_9,2,1798,2022-01-02
2022-01-03T07:10:04.512123_0,1,1454,2022-01-03
2022-01-03T07:10:04.512123_1,2,1489,2022-01-03
2022-01-03T07:10:04.512123_2,2,1580,2022-01-03
2022-01-03T07:10:04.512123_3,3,1194,2022-01-03
2022-01-03T07:10:04.512123_4,3,1010,2022-01-03
2022-01-03T07:10:04.512123_5,2,1452,2022-01-03
2022-01-03T07:10:04.512123_6,1,1200,2022-01-03
2022-01-03T07:10:04.512123_7,3,1706,2022-01-03
2022-01-03T07:10:04.512123_8,2,1997,2022-01-03
2022-01-04T07:10:04.512123_0,2,1798,2022-01-04
2022-01-04T07:10:04.512123_1,1,1660,2022-01-04
2022-01-04T07:10:04.512123_2,2,1925,2022-01-04
2022-01-04T07:10:04.512123_3,2,1513,2022-01-04
2022-01-04T07:10:04.512123_4,1,1232,2022-01-04
2022-01-04T07:10:04.512123_5,2,1030,2022-01-04
2022-01-05T07:10:04.512123_0,1,1972,2022-01-05
2022-01-05T07:10:04.512123_1,1,1366,2022-01-05
2022-01-05T07:10:04.512123_2,2,1967,2022-01-05
2022-01-05T07:10:04.512123_3,2,1367,2022-01-05
2022-01-05T07:10:04.512123_4,3,1335,2022-01-05
2022-01-05T07:10:04.512123_5,2,1520,2022-01-05
2022-01-06T07:10:04.512123_0,1,1100,2022-01-06
2022-01-06T07:10:04.512123_1,2,1346,2022-01-06
