tran_id,store_id,member_id,tran_dt
2020-04-15T19:57:01.671999_0,1,1222,2019-01-01
2020-04-15T19:57:01.671999_1,1,1967,2019-01-01
2020-04-15T19:57:01.671999_10,2,1310,2019-01-02
2020-04-15T19:57:01.671999_2,2,1372,2019-01-01
2020-04-15T19:57:01.671999_3,1,1413,2019-01-01
2020-04-15T19:57:01.671999_4,2,1335,2019-01-01
2020-04-15T19:57:01.671999_5,2,1134,2019-01-01
2020-04-15T19:57:01.671999_6,2,1650,2019-01-01
2020-04-15T19:57:01.671999_7,3,1367,2019-01-02
2020-04-15T19:57:01.671999_8,3,1997,2019-01-02
2020-04-15T19:57:01.671999_9,3,1675,2019-01-02
2020-04-15T19:57:01.672998_11,3,1061,2019-01-02
2020-04-15T19:57:01.672998_12,2,1795,2019-01-02
2020-04-15T19:57:01.672998_13,3,1361,2019-01-02
2020-04-15T19:57:01.672998_14,2,1165,2019-01-02
2020-04-15T19:57:01.672998_15,3,1346,2019-01-02
2020-04-15T19:57:01.672998_16,1,1031,2019-01-02
2020-04-15T19:57:01.672998_17,2,1513,2019-01-03
2020-04-15T19:57:01.672998_18,3,1721,2019-01-03
2020-04-15T19:57:01.672998_19,3,1368,2019-01-03
2020-04-15T19:57:01.672998_20,3,1250,2019-01-03
2020-04-15T19:57:01.672998_21,3,1972,2019-01-03
2020-04-15T19:57:01.672998_22,2,1282,2019-01-03
2020-04-15T19:57:01.672998_23,3,1625,2019-01-03
2020-04-15T19:57:01.672998_24,2,1506,2019-01-03
2020-04-15T19:57:01.672998_25,2,1570,2019-01-03
2020-04-15T19:57:01.672998_26,1,1454,2019-01-03
2020-04-15T19:57:01.672998_27,1,1865,2019-01-04
2020-04-15T19:57:01.672998_28,2,1371,2019-01-04
2020-04-15T19:57:01.672998_29,3,1074,2019-01-04
2020-04-15T19:57:01.672998_30,1,1701,2019-01-04
2020-04-15T19:57:01.672998_31,3,1333,2019-01-04
2020-04-15T19:57:01.672998_32,2,1336,2019-01-04
2020-04-15T19:57:01.672998_33,3,1487,2019-01-04
2020-04-15T19:57:01.672998_34,3,1142,2019-01-04
2020-04-15T19:57:01.672998_35,1,1085,2019-01-04
2020-04-15T19:57:01.672998_36,3,1366,2019-01-04
2020-04-15T19:57:01.672998_37,1,1973,2019-01-05
2020-04-15T19:57:01.672998_38,3,1134,2019-01-05
2020-04-15T19:57:01.672998_39,3,1371,2019-01-05
2020-04-15T19:57:01.672998_40,2,1292,2019-01-05
2020-04-15T19:57:01.672998_41,3,1282,2019-01-05
2020-04-15T19:57:01.672998_42,3,1549,2019-01-05
2020-04-15T19:57:01.672998_43,1,1010,2019-01-05
2020-04-15T19:57:01.672998_44,1,1142,2019-01-05
2020-04-15T19:57:01.672998_45,3,1134,2019-01-05
2020-04-15T19:57:01.672998_46,3,1372,2019-01-05
2020-04-15T19:57:01.672998_47,1,1992,2019-01-05
2020-04-15T19:57:01.672998_48,1,1701,2019-01-05
2020-04-15T19:57:01.672998_49,2,1292,2019-01-05
2020-04-15T19:57:01.672998_50,3,1010,2019-01-05
2020-04-15T19:57:01.672998_51,2,1884,2019-01-05
2020-04-15T19:57:01.672998_52,3,1625,2019-01-05
2020-04-15T19:57:01.672998_53,3,1549,2019-01-05
2020-04-15T19:57:01.672998_54,3,1232,2019-01-05
2020-04-15T19:57:01.672998_55,3,1855,2019-01-05
2020-04-15T19:57:01.672998_56,1,1923,2019-01-05
2020-04-15T19:57:01.672998_57,3,1925,2019-01-05
2020-04-15T19:57:01.672998_58,3,1489,2019-01-05
2020-04-15T19:57:01.672998_59,2,1568,2019-01-05
2020-04-15T19:57:01.672998_60,1,1520,2019-01-06
2020-04-15T19:57:01.672998_61,3,1366,2019-01-06
2020-04-15T19:57:01.672998_62,3,1884,2019-01-06
2020-04-15T19:57:01.672998_63,3,1997,2019-01-06
2020-04-15T19:57:01.672998_64,2,1164,2019-01-06
2020-04-15T19:57:01.672998_65,2,1366,2019-01-06
2020-04-15T19:57:01.672998_66,1,1292,2019-01-06
